 Instance   Sample     Objective      Gap     Runtime  
-------------------------------------------------------
    1         1          43.0         0.0       0.17   
    1         2          47.0         0.0       0.36   
    1         3          47.0         0.0       0.15   
    1         4          62.0         0.0       0.61   
    1         5          39.0         0.0       0.86   
    1         6          48.0         0.0       0.22   
    1         7          60.0         0.0       0.22   
    1         8          53.0         0.0       0.12   
    1         9          48.0         0.0       0.44   
    1         10         45.0         0.0       0.27   
